run_id,k_si,n_si,spec_r,pte_8,pte_8_error
365,1.025,0.5,0.5833333333333333,0.00321,0.00017916472867168917
366,1.025,0.5,0.625,0.0033,0.00018165902124584948
367,1.025,0.5,0.6666666666666666,0.00339,0.00018411952639521968
368,1.025,0.5,0.7083333333333333,0.00346,0.00018601075237738274
369,1.025,0.5,0.75,0.00346,0.00018601075237738274
370,1.025,0.5,0.7916666666666666,0.00352,0.0001876166303929372
371,1.025,0.5,0.8333333333333333,0.00359,0.00018947295321496415
372,1.025,0.5,0.875,0.00369,0.00019209372712298544
373,1.025,0.5,0.9166666666666666,0.00371,0.00019261360284258223
374,1.025,0.5,0.9583333333333333,0.00381,0.00019519221295943138
375,1.025,0.5,1.0,0.00384,0.00019595917942265422
376,1.0625,0.5,0.0,0.00216,0.0001469693845669907
377,1.0625,0.5,0.041666666666666664,0.00229,0.00015132745950421556
378,1.0625,0.5,0.08333333333333333,0.00235,0.0001532970971675589
379,1.0625,0.5,0.125,0.00239,0.00015459624833740306
380,1.0625,0.5,0.16666666666666666,0.00246,0.00015684387141358123
381,1.0625,0.5,0.20833333333333331,0.00249,0.000157797338380595
382,1.0625,0.5,0.25,0.0026,0.00016124515496597098
383,1.0625,0.5,0.29166666666666663,0.00265,0.00016278820596099706
384,1.0625,0.5,0.3333333333333333,0.00269,0.00016401219466856726
385,1.0625,0.5,0.375,0.00278,0.00016673332000533066
386,1.0625,0.5,0.41666666666666663,0.00283,0.0001682260384126072
387,1.0625,0.5,0.4583333333333333,0.00295,0.00017175564037317666
388,1.0625,0.5,0.5,0.00311,0.00017635192088548396
389,1.0625,0.5,0.5416666666666666,0.00316,0.00017776388834631177
390,1.0625,0.5,0.5833333333333333,0.00322,0.0001794435844492636
391,1.0625,0.5,0.625,0.00331,0.00018193405398660254
392,1.0625,0.5,0.6666666666666666,0.00339,0.00018411952639521968
393,1.0625,0.5,0.7083333333333333,0.00346,0.00018601075237738274
394,1.0625,0.5,0.75,0.00346,0.00018601075237738274
395,1.0625,0.5,0.7916666666666666,0.00352,0.0001876166303929372
396,1.0625,0.5,0.8333333333333333,0.00359,0.00018947295321496415
