k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
0.88,1.8623529411764705,0.0015245,2.7608875384557045e-05,0.00142,2.6645825188948456e-05
0.88,1.8841176470588235,0.0015225,2.759075932264279e-05,0.001419,2.6636441203734406e-05
0.88,1.9058823529411764,0.001521,2.7577164466275353e-05,0.001417,2.661766330841233e-05
0.88,1.9276470588235295,0.001519,2.755902755904134e-05,0.001415,2.6598872156540773e-05
0.88,1.9494117647058824,0.001518,2.754995462791182e-05,0.001415,2.6598872156540773e-05
0.88,1.9711764705882353,0.0015175,2.754541704167864e-05,0.001415,2.6598872156540773e-05
0.88,1.9929411764705882,0.001517,2.754087870784082e-05,0.0014135,2.658477007611689e-05
0.88,2.014705882352941,0.0015175,2.754541704167864e-05,0.001414,2.658947160061666e-05
0.88,2.0364705882352943,0.001517,2.754087870784082e-05,0.001414,2.658947160061666e-05
0.88,2.058235294117647,0.0015155,2.7527259217001606e-05,0.0014135,2.658477007611689e-05
0.88,2.08,0.0015155,2.7527259217001606e-05,0.001413,2.6580067720004026e-05
0.8999999999999999,1.71,0.0015595,2.7924004010886403e-05,0.0014445,2.6874709300753376e-05
0.8999999999999999,1.7317647058823529,0.0015555,2.788816953476868e-05,0.0014405,2.6837473800639284e-05
0.8999999999999999,1.7535294117647058,0.001546,2.7802877548915688e-05,0.0014375,2.680951323690902e-05
0.8999999999999999,1.775294117647059,0.0015405,2.7753378172755833e-05,0.001433,2.6767517628648345e-05
0.8999999999999999,1.7970588235294118,0.0015405,2.7753378172755833e-05,0.00143,2.6739483914241878e-05
0.8999999999999999,1.8188235294117647,0.0015365,2.77173231030704e-05,0.001426,2.670205984563738e-05
0.8999999999999999,1.8405882352941176,0.001534,2.7694764848252457e-05,0.001426,2.670205984563738e-05
0.8999999999999999,1.8623529411764705,0.0015315,2.7672188204043423e-05,0.0014235,2.66786431439082e-05
0.8999999999999999,1.8841176470588235,0.001529,2.764959312539698e-05,0.0014215,2.665989497353656e-05
0.8999999999999999,1.9058823529411764,0.0015275,2.7636027210870958e-05,0.00142,2.6645825188948456e-05
0.8999999999999999,1.9276470588235295,0.0015265,2.762697956708261e-05,0.001421,2.665520587052368e-05
0.8999999999999999,1.9494117647058824,0.0015245,2.7608875384557045e-05,0.0014185,2.6631747971171548e-05
0.8999999999999999,1.9711764705882353,0.001523,2.7595289453093258e-05,0.001418,2.6627053911388697e-05
0.8999999999999999,1.9929411764705882,0.001524,2.7604347483684522e-05,0.0014175,2.6622359023948273e-05
0.8999999999999999,2.014705882352941,0.001523,2.7595289453093258e-05,0.0014165,2.6612966764342526e-05
0.8999999999999999,2.0364705882352943,0.001523,2.7595289453093258e-05,0.0014165,2.6612966764342526e-05
0.8999999999999999,2.058235294117647,0.0015235,2.7599818839985164e-05,0.0014165,2.6612966764342526e-05
0.8999999999999999,2.08,0.001523,2.7595289453093258e-05,0.0014155,2.6603571188846058e-05
0.9199999999999999,1.71,0.0015725,2.8040149785619908e-05,0.001454,2.696293752542553e-05
0.9199999999999999,1.7317647058823529,0.0015665,2.798660393831306e-05,0.0014475,2.690260210462921e-05
0.9199999999999999,1.7535294117647058,0.001561,2.7937430089397985e-05,0.001445,2.6879360111431226e-05
0.9199999999999999,1.775294117647059,0.0015565,2.789713246912664e-05,0.001441,2.6842131062939095e-05
0.9199999999999999,1.7970588235294118,0.001548,2.7820855486487112e-05,0.001437,2.680485030736042e-05
0.9199999999999999,1.8188235294117647,0.0015445,2.7789386463180506e-05,0.0014345,2.6781523481684158e-05
0.9199999999999999,1.8405882352941176,0.0015405,2.7753378172755833e-05,0.0014315,2.675350444334349e-05
0.9199999999999999,1.8623529411764705,0.001539,2.7739863013360394e-05,0.001429,2.673013280924732e-05
0.9199999999999999,1.8841176470588235,0.001537,2.7721832551258224e-05,0.001426,2.670205984563738e-05
0.9199999999999999,1.9058823529411764,0.001535,2.7703790354390135e-05,0.0014235,2.66786431439082e-05
0.9199999999999999,1.9276470588235295,0.0015335,2.7690250992000777e-05,0.001424,2.668332812825267e-05
0.9199999999999999,1.9494117647058824,0.001531,2.7667670664513845e-05,0.0014225,2.6669270706189173e-05
0.9199999999999999,1.9711764705882353,0.0015305,2.7663152387246108e-05,0.001422,2.6664583251946768e-05
0.9199999999999999,1.9929411764705882,0.00153,2.7658633371878662e-05,0.001422,2.6664583251946768e-05
0.9199999999999999,2.014705882352941,0.0015305,2.7663152387246108e-05,0.001422,2.6664583251946768e-05
0.9199999999999999,2.0364705882352943,0.001528,2.7640549922170507e-05,0.0014205,2.665051594247286e-05
0.9199999999999999,2.058235294117647,0.001527,2.7631503759296197e-05,0.001419,2.6636441203734406e-05
0.9199999999999999,2.08,0.001527,2.7631503759296197e-05,0.001419,2.6636441203734406e-05
0.94,1.71,0.0015765,2.8075790282732915e-05,0.0014615,2.703238798182654e-05
0.94,1.7317647058823529,0.0015755,2.8066884401372376e-05,0.001458,2.7e-05
0.94,1.7535294117647058,0.001573,2.8044607324760318e-05,0.001453,2.6953663943887107e-05
0.94,1.775294117647059,0.0015675,2.799553535833884e-05,0.0014495,2.6921181251943608e-05
0.94,1.7970588235294118,0.0015635,2.795979256003163e-05,0.001446,2.6888659319497504e-05
